id,status,theme,section_hint,source,dest,notes
plot-010,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217183842846_ml_ref_ref0_torque_10-42-36/plots/learning_curves.png,candidates/plots/plot_010_trend-learning-curve_bba49c7b.png,hardlink; run=9998217183842846_ml_ref_ref0_torque_10-42-36
plot-011,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217183948906_ml_ref_ref1_vector_10-40-50/plots/learning_curves.png,candidates/plots/plot_011_trend-learning-curve_a1655563.png,hardlink; run=9998217183948906_ml_ref_ref1_vector_10-40-50
plot-012,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217211235184_ml_encoder_r2_sac_a1_03-06-04/plots/learning_curves.png,candidates/plots/plot_012_trend-learning-curve_15c0b30b.png,hardlink; run=9998217211235184_ml_encoder_r2_sac_a1_03-06-04
plot-013,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217212521862_ml_encoder_r2_sac_a0_02-44-37/plots/learning_curves.png,candidates/plots/plot_013_trend-learning-curve_4d27ae27.png,hardlink; run=9998217212521862_ml_encoder_r2_sac_a0_02-44-37
plot-014,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217214701278_ml_mpo_model_size_mpo_l_02-08-18/plots/learning_curves.png,candidates/plots/plot_014_trend-learning-curve_f503038e.png,hardlink; run=9998217214701278_ml_mpo_model_size_mpo_l_02-08-18
plot-015,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217216712049_ml_mpo_model_size_mpo_m_01-34-47/plots/learning_curves.png,candidates/plots/plot_015_trend-learning-curve_a6f18131.png,hardlink; run=9998217216712049_ml_mpo_model_size_mpo_m_01-34-47
plot-016,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217218692971_ml_mpo_model_size_mpo_s_01-01-46/plots/learning_curves.png,candidates/plots/plot_016_trend-learning-curve_2f6e2aad.png,hardlink; run=9998217218692971_ml_mpo_model_size_mpo_s_01-01-46
plot-017,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217220057912_ml_ref_ref1_vector_00-39-02/plots/learning_curves.png,candidates/plots/plot_017_trend-learning-curve_955df98b.png,hardlink; run=9998217220057912_ml_ref_ref1_vector_00-39-02
plot-018,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217221440424_ml_ref_ref0_torque_00-15-58/plots/learning_curves.png,candidates/plots/plot_018_trend-learning-curve_2b55f7e2.png,hardlink; run=9998217221440424_ml_ref_ref0_torque_00-15-58
plot-019,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217221580990_ml_ref_ref1_vector_00-13-38/plots/learning_curves.png,candidates/plots/plot_019_trend-learning-curve_960f62ea.png,hardlink; run=9998217221580990_ml_ref_ref1_vector_00-13-38
plot-020,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217223719044_ml_ref_ref0_torque_23-38-00/plots/learning_curves.png,candidates/plots/plot_020_trend-learning-curve_8154b58d.png,hardlink; run=9998217223719044_ml_ref_ref0_torque_23-38-00
plot-021,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217224670341_ml_compare_compare_mpo_23-22-09/plots/learning_curves.png,candidates/plots/plot_021_trend-learning-curve_8b317cb5.png,hardlink; run=9998217224670341_ml_compare_compare_mpo_23-22-09
plot-022,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217225628033_ml_compare_compare_sac_23-06-11/plots/learning_curves.png,candidates/plots/plot_022_trend-learning-curve_b04f4e27.png,hardlink; run=9998217225628033_ml_compare_compare_sac_23-06-11
plot-023,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217227276511_ml_sac_hparam_sac_l_dense_22-38-43/plots/learning_curves.png,candidates/plots/plot_023_trend-learning-curve_2e6632f6.png,hardlink; run=9998217227276511_ml_sac_hparam_sac_l_dense_22-38-43
plot-024,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217228551604_ml_sac_hparam_sac_l_sparse_22-17-28/plots/learning_curves.png,candidates/plots/plot_024_trend-learning-curve_4e455554.png,hardlink; run=9998217228551604_ml_sac_hparam_sac_l_sparse_22-17-28
plot-025,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217229553392_ml_sac_hparam_sac_m_dense_22-00-46/plots/learning_curves.png,candidates/plots/plot_025_trend-learning-curve_b628c871.png,hardlink; run=9998217229553392_ml_sac_hparam_sac_m_dense_22-00-46
plot-026,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217230681332_ml_sac_hparam_sac_m_sparse_21-41-58/plots/learning_curves.png,candidates/plots/plot_026_trend-learning-curve_831d7510.png,hardlink; run=9998217230681332_ml_sac_hparam_sac_m_sparse_21-41-58
plot-027,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217232015016_ml_sac_hparam_sac_s_dense_21-19-44/plots/learning_curves.png,candidates/plots/plot_027_trend-learning-curve_2a722866.png,hardlink; run=9998217232015016_ml_sac_hparam_sac_s_dense_21-19-44
plot-028,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217233352053_ml_sac_hparam_sac_s_sparse_20-57-27/plots/learning_curves.png,candidates/plots/plot_028_trend-learning-curve_1438bdd3.png,hardlink; run=9998217233352053_ml_sac_hparam_sac_s_sparse_20-57-27
plot-029,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217234669516_ml_encoder_sac_a0_20-35-29/plots/learning_curves.png,candidates/plots/plot_029_trend-learning-curve_99121fd2.png,hardlink; run=9998217234669516_ml_encoder_sac_a0_20-35-29
plot-030,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217248114377_ml_encoder_sac_a1_16-51-25/plots/learning_curves.png,candidates/plots/plot_030_trend-learning-curve_4c38b075.png,hardlink; run=9998217248114377_ml_encoder_sac_a1_16-51-25
plot-031,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217249101092_ml_encoder_sac_a0_16-34-58/plots/learning_curves.png,candidates/plots/plot_031_trend-learning-curve_ba9d515c.png,hardlink; run=9998217249101092_ml_encoder_sac_a0_16-34-58
plot-032,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217254656575_ml_shutter_mpo_t09_15-02-22/plots/learning_curves.png,candidates/plots/plot_032_trend-learning-curve_d7fd204e.png,hardlink; run=9998217254656575_ml_shutter_mpo_t09_15-02-22
plot-033,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_learning_signal_baseline_17-19-54/plots/learning_curves.png,candidates/plots/plot_033_trend-learning-curve_e8caf0a1.png,hardlink; run=ml_learning_signal_baseline_17-19-54
plot-034,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_ls_c1_no_dropout_high_pi_lr_17-46-27/plots/learning_curves.png,candidates/plots/plot_034_trend-learning-curve_32035c48.png,hardlink; run=ml_ls_c1_no_dropout_high_pi_lr_17-46-27
plot-035,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_overnight_h1a_mpo_sparse_22-18-35/plots/learning_curves.png,candidates/plots/plot_035_trend-learning-curve_22083cb0.png,hardlink; run=ml_overnight_h1a_mpo_sparse_22-18-35
plot-036,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_overnight_h1a_mpo_sparse_23-20-15/plots/learning_curves.png,candidates/plots/plot_036_trend-learning-curve_4ebe1548.png,hardlink; run=ml_overnight_h1a_mpo_sparse_23-20-15
plot-037,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_overnight_h1b_mpo_stable_eta_23-42-59/plots/learning_curves.png,candidates/plots/plot_037_trend-learning-curve_75135111.png,hardlink; run=ml_overnight_h1b_mpo_stable_eta_23-42-59
plot-038,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_overnight_h4_sac_00-28-52/plots/learning_curves.png,candidates/plots/plot_038_trend-learning-curve_91a44043.png,hardlink; run=ml_overnight_h4_sac_00-28-52
plot-039,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_overnight_h6_mpo_dense_latent_00-05-01/plots/learning_curves.png,candidates/plots/plot_039_trend-learning-curve_a12876eb.png,hardlink; run=ml_overnight_h6_mpo_dense_latent_00-05-01
plot-040,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_overnight_h6_mpo_dense_latent_22-46-28/plots/learning_curves.png,candidates/plots/plot_040_trend-learning-curve_44648368.png,hardlink; run=ml_overnight_h6_mpo_dense_latent_22-46-28
plot-041,backup,trend-learning-curve,Results,backend/autonomous_control/runs/ml_shutter_mpo_t05_14-04-49/plots/learning_curves.png,candidates/plots/plot_041_trend-learning-curve_8d787b52.png,hardlink; run=ml_shutter_mpo_t05_14-04-49
plot-042,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-24_18-36-58/plots/learning_curves.png,candidates/plots/plot_042_trend-learning-curve_20854678.png,hardlink; run=nb-s01-08-2026-06-24_18-36-58
plot-043,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-24_21-32-21/plots/learning_curves.png,candidates/plots/plot_043_trend-learning-curve_bdd15da4.png,hardlink; run=nb-s01-08-2026-06-24_21-32-21
plot-044,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-24_22-48-52/plots/learning_curves.png,candidates/plots/plot_044_trend-learning-curve_f56e2820.png,hardlink; run=nb-s01-08-2026-06-24_22-48-52
plot-045,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-25_07-31-43/plots/learning_curves.png,candidates/plots/plot_045_trend-learning-curve_82b7c894.png,hardlink; run=nb-s01-08-2026-06-25_07-31-43
plot-046,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-26_08-15-09/plots/learning_curves.png,candidates/plots/plot_046_trend-learning-curve_154b3321.png,hardlink; run=nb-s01-08-2026-06-26_08-15-09
plot-047,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-27_08-10-34/plots/learning_curves.png,candidates/plots/plot_047_trend-learning-curve_5a02d18e.png,hardlink; run=nb-s01-08-2026-06-27_08-10-34
plot-048,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-27_12-19-52/plots/learning_curves.png,candidates/plots/plot_048_trend-learning-curve_4f22b359.png,hardlink; run=nb-s01-08-2026-06-27_12-19-52
plot-049,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-27_13-50-06/plots/learning_curves.png,candidates/plots/plot_049_trend-learning-curve_a0753a9e.png,hardlink; run=nb-s01-08-2026-06-27_13-50-06
plot-050,backup,trend-learning-curve,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-28_13-42-21/plots/learning_curves.png,candidates/plots/plot_050_trend-learning-curve_19fdb1c9.png,hardlink; run=nb-s01-08-2026-06-28_13-42-21
plot-051,backup,trend-returns,Results,backend/autonomous_control/runs/9998217137783822_ml_mpo_learn_cadence_cadence_1_1_50_23-30-16/plots/returns_by_episode.png,candidates/plots/plot_051_trend-returns_44d71e99.png,hardlink; run=9998217137783822_ml_mpo_learn_cadence_cadence_1_1_50_23-30-16
plot-052,backup,trend-returns,Results,backend/autonomous_control/runs/9998217138176094_ml_mpo_learn_cadence_cadence_1_1_10_23-23-43/plots/returns_by_episode.png,candidates/plots/plot_052_trend-returns_86af4332.png,hardlink; run=9998217138176094_ml_mpo_learn_cadence_cadence_1_1_10_23-23-43
plot-053,backup,trend-returns,Results,backend/autonomous_control/runs/9998217138572967_ml_mpo_learn_cadence_baseline_1_1_1_23-17-06/plots/returns_by_episode.png,candidates/plots/plot_053_trend-returns_38a96ca9.png,hardlink; run=9998217138572967_ml_mpo_learn_cadence_baseline_1_1_1_23-17-06
plot-054,backup,trend-returns,Results,backend/autonomous_control/runs/9998217140497791_ml_mpo_vector_torque_effort_vector_torque_effort_22-45-01/plots/returns_by_episode.png,candidates/plots/plot_054_trend-returns_62a0c944.png,hardlink; run=9998217140497791_ml_mpo_vector_torque_effort_vector_torque_effort_22-45-01
plot-055,backup,trend-returns,Results,backend/autonomous_control/runs/9998217142297111_ml_mpo_decoupled_dual_vector_sparse_22-15-02/plots/returns_by_episode.png,candidates/plots/plot_055_trend-returns_925a1c0d.png,hardlink; run=9998217142297111_ml_mpo_decoupled_dual_vector_sparse_22-15-02
plot-056,backup,trend-returns,Results,backend/autonomous_control/runs/9998217144237087_ml_mpo_safe_mode_penalty_safe_mode_penalty_on_21-42-42/plots/returns_by_episode.png,candidates/plots/plot_056_trend-returns_f961baea.png,hardlink; run=9998217144237087_ml_mpo_safe_mode_penalty_safe_mode_penalty_on_21-42-42
plot-057,backup,trend-returns,Results,backend/autonomous_control/runs/9998217164480175_ml_mpo_decoupled_dual_torque_sparse_16-05-19/plots/returns_by_episode.png,candidates/plots/plot_057_trend-returns_5c029164.png,hardlink; run=9998217164480175_ml_mpo_decoupled_dual_torque_sparse_16-05-19
plot-058,backup,trend-returns,Results,backend/autonomous_control/runs/9998217165798903_ml_sac_shutter_split_15-43-20/plots/returns_by_episode.png,candidates/plots/plot_058_trend-returns_59125ada.png,hardlink; run=9998217165798903_ml_sac_shutter_split_15-43-20
plot-059,backup,trend-returns,Results,backend/autonomous_control/runs/9998217172220712_ml_sac_vector_budget_13-56-17/plots/returns_by_episode.png,candidates/plots/plot_059_trend-returns_9116c52d.png,hardlink; run=9998217172220712_ml_sac_vector_budget_13-56-17
plot-060,backup,trend-returns,Results,backend/autonomous_control/runs/9998217182442815_ml_ref_ref1_vector_11-05-57/plots/returns_by_episode.png,candidates/plots/plot_060_trend-returns_5be1aed9.png,hardlink; run=9998217182442815_ml_ref_ref1_vector_11-05-57
plot-061,backup,trend-returns,Results,backend/autonomous_control/runs/9998217183842846_ml_ref_ref0_torque_10-42-36/plots/returns_by_episode.png,candidates/plots/plot_061_trend-returns_f6e34324.png,hardlink; run=9998217183842846_ml_ref_ref0_torque_10-42-36
plot-062,backup,trend-returns,Results,backend/autonomous_control/runs/9998217183948906_ml_ref_ref1_vector_10-40-50/plots/returns_by_episode.png,candidates/plots/plot_062_trend-returns_5f03614f.png,hardlink; run=9998217183948906_ml_ref_ref1_vector_10-40-50
plot-063,backup,trend-returns,Results,backend/autonomous_control/runs/9998217211235184_ml_encoder_r2_sac_a1_03-06-04/plots/returns_by_episode.png,candidates/plots/plot_063_trend-returns_1ab4d278.png,hardlink; run=9998217211235184_ml_encoder_r2_sac_a1_03-06-04
plot-064,backup,trend-returns,Results,backend/autonomous_control/runs/9998217212521862_ml_encoder_r2_sac_a0_02-44-37/plots/returns_by_episode.png,candidates/plots/plot_064_trend-returns_9cc8a61f.png,hardlink; run=9998217212521862_ml_encoder_r2_sac_a0_02-44-37
plot-065,backup,trend-returns,Results,backend/autonomous_control/runs/9998217214701278_ml_mpo_model_size_mpo_l_02-08-18/plots/returns_by_episode.png,candidates/plots/plot_065_trend-returns_7388d574.png,hardlink; run=9998217214701278_ml_mpo_model_size_mpo_l_02-08-18
plot-066,backup,trend-returns,Results,backend/autonomous_control/runs/9998217216712049_ml_mpo_model_size_mpo_m_01-34-47/plots/returns_by_episode.png,candidates/plots/plot_066_trend-returns_2336ac0d.png,hardlink; run=9998217216712049_ml_mpo_model_size_mpo_m_01-34-47
plot-067,backup,trend-returns,Results,backend/autonomous_control/runs/9998217218692971_ml_mpo_model_size_mpo_s_01-01-46/plots/returns_by_episode.png,candidates/plots/plot_067_trend-returns_297009a0.png,hardlink; run=9998217218692971_ml_mpo_model_size_mpo_s_01-01-46
plot-068,backup,trend-returns,Results,backend/autonomous_control/runs/9998217220057912_ml_ref_ref1_vector_00-39-02/plots/returns_by_episode.png,candidates/plots/plot_068_trend-returns_248a2478.png,hardlink; run=9998217220057912_ml_ref_ref1_vector_00-39-02
plot-069,backup,trend-returns,Results,backend/autonomous_control/runs/9998217221440424_ml_ref_ref0_torque_00-15-58/plots/returns_by_episode.png,candidates/plots/plot_069_trend-returns_81afb5e3.png,hardlink; run=9998217221440424_ml_ref_ref0_torque_00-15-58
plot-070,backup,trend-returns,Results,backend/autonomous_control/runs/9998217221580990_ml_ref_ref1_vector_00-13-38/plots/returns_by_episode.png,candidates/plots/plot_070_trend-returns_1ea2ca20.png,hardlink; run=9998217221580990_ml_ref_ref1_vector_00-13-38
plot-071,backup,trend-returns,Results,backend/autonomous_control/runs/9998217223719044_ml_ref_ref0_torque_23-38-00/plots/returns_by_episode.png,candidates/plots/plot_071_trend-returns_f2955bb3.png,hardlink; run=9998217223719044_ml_ref_ref0_torque_23-38-00
plot-072,backup,trend-returns,Results,backend/autonomous_control/runs/9998217224670341_ml_compare_compare_mpo_23-22-09/plots/returns_by_episode.png,candidates/plots/plot_072_trend-returns_843e679f.png,hardlink; run=9998217224670341_ml_compare_compare_mpo_23-22-09
plot-073,backup,trend-returns,Results,backend/autonomous_control/runs/9998217225628033_ml_compare_compare_sac_23-06-11/plots/returns_by_episode.png,candidates/plots/plot_073_trend-returns_277127c9.png,hardlink; run=9998217225628033_ml_compare_compare_sac_23-06-11
plot-074,backup,trend-returns,Results,backend/autonomous_control/runs/9998217227276511_ml_sac_hparam_sac_l_dense_22-38-43/plots/returns_by_episode.png,candidates/plots/plot_074_trend-returns_076415a5.png,hardlink; run=9998217227276511_ml_sac_hparam_sac_l_dense_22-38-43
plot-075,backup,trend-returns,Results,backend/autonomous_control/runs/9998217228551604_ml_sac_hparam_sac_l_sparse_22-17-28/plots/returns_by_episode.png,candidates/plots/plot_075_trend-returns_5101aa16.png,hardlink; run=9998217228551604_ml_sac_hparam_sac_l_sparse_22-17-28
plot-076,backup,trend-returns,Results,backend/autonomous_control/runs/9998217229553392_ml_sac_hparam_sac_m_dense_22-00-46/plots/returns_by_episode.png,candidates/plots/plot_076_trend-returns_0b252896.png,hardlink; run=9998217229553392_ml_sac_hparam_sac_m_dense_22-00-46
plot-077,backup,trend-returns,Results,backend/autonomous_control/runs/9998217230681332_ml_sac_hparam_sac_m_sparse_21-41-58/plots/returns_by_episode.png,candidates/plots/plot_077_trend-returns_da9ab09f.png,hardlink; run=9998217230681332_ml_sac_hparam_sac_m_sparse_21-41-58
plot-078,backup,trend-returns,Results,backend/autonomous_control/runs/9998217232015016_ml_sac_hparam_sac_s_dense_21-19-44/plots/returns_by_episode.png,candidates/plots/plot_078_trend-returns_c91491e9.png,hardlink; run=9998217232015016_ml_sac_hparam_sac_s_dense_21-19-44
plot-079,backup,trend-returns,Results,backend/autonomous_control/runs/9998217233352053_ml_sac_hparam_sac_s_sparse_20-57-27/plots/returns_by_episode.png,candidates/plots/plot_079_trend-returns_0b215962.png,hardlink; run=9998217233352053_ml_sac_hparam_sac_s_sparse_20-57-27
plot-080,backup,trend-returns,Results,backend/autonomous_control/runs/9998217234669516_ml_encoder_sac_a0_20-35-29/plots/returns_by_episode.png,candidates/plots/plot_080_trend-returns_7054f2d1.png,hardlink; run=9998217234669516_ml_encoder_sac_a0_20-35-29
plot-081,backup,trend-returns,Results,backend/autonomous_control/runs/9998217248114377_ml_encoder_sac_a1_16-51-25/plots/returns_by_episode.png,candidates/plots/plot_081_trend-returns_0e676f20.png,hardlink; run=9998217248114377_ml_encoder_sac_a1_16-51-25
plot-082,backup,trend-returns,Results,backend/autonomous_control/runs/9998217249101092_ml_encoder_sac_a0_16-34-58/plots/returns_by_episode.png,candidates/plots/plot_082_trend-returns_ed0324ae.png,hardlink; run=9998217249101092_ml_encoder_sac_a0_16-34-58
plot-083,backup,trend-returns,Results,backend/autonomous_control/runs/9998217254656575_ml_shutter_mpo_t09_15-02-22/plots/returns_by_episode.png,candidates/plots/plot_083_trend-returns_95565c5f.png,hardlink; run=9998217254656575_ml_shutter_mpo_t09_15-02-22
plot-084,backup,trend-returns,Results,backend/autonomous_control/runs/ml_learning_signal_baseline_17-19-54/plots/returns_by_episode.png,candidates/plots/plot_084_trend-returns_c53c1401.png,hardlink; run=ml_learning_signal_baseline_17-19-54
plot-085,backup,trend-returns,Results,backend/autonomous_control/runs/ml_ls_c1_no_dropout_high_pi_lr_17-46-27/plots/returns_by_episode.png,candidates/plots/plot_085_trend-returns_2bfdc298.png,hardlink; run=ml_ls_c1_no_dropout_high_pi_lr_17-46-27
plot-086,backup,trend-returns,Results,backend/autonomous_control/runs/ml_overnight_h1a_mpo_sparse_22-18-35/plots/returns_by_episode.png,candidates/plots/plot_086_trend-returns_ebf28886.png,hardlink; run=ml_overnight_h1a_mpo_sparse_22-18-35
plot-087,backup,trend-returns,Results,backend/autonomous_control/runs/ml_overnight_h1a_mpo_sparse_23-20-15/plots/returns_by_episode.png,candidates/plots/plot_087_trend-returns_12cefa34.png,hardlink; run=ml_overnight_h1a_mpo_sparse_23-20-15
plot-088,backup,trend-returns,Results,backend/autonomous_control/runs/ml_overnight_h1b_mpo_stable_eta_23-42-59/plots/returns_by_episode.png,candidates/plots/plot_088_trend-returns_ce4df126.png,hardlink; run=ml_overnight_h1b_mpo_stable_eta_23-42-59
plot-089,backup,trend-returns,Results,backend/autonomous_control/runs/ml_overnight_h4_sac_00-28-52/plots/returns_by_episode.png,candidates/plots/plot_089_trend-returns_46fcfe59.png,hardlink; run=ml_overnight_h4_sac_00-28-52
plot-090,backup,trend-returns,Results,backend/autonomous_control/runs/ml_overnight_h6_mpo_dense_latent_00-05-01/plots/returns_by_episode.png,candidates/plots/plot_090_trend-returns_3b38a026.png,hardlink; run=ml_overnight_h6_mpo_dense_latent_00-05-01
plot-091,backup,trend-returns,Results,backend/autonomous_control/runs/ml_overnight_h6_mpo_dense_latent_22-46-28/plots/returns_by_episode.png,candidates/plots/plot_091_trend-returns_8056e58f.png,hardlink; run=ml_overnight_h6_mpo_dense_latent_22-46-28
plot-092,backup,trend-returns,Results,backend/autonomous_control/runs/ml_shutter_mpo_t05_14-04-49/plots/returns_by_episode.png,candidates/plots/plot_092_trend-returns_8ca1b002.png,hardlink; run=ml_shutter_mpo_t05_14-04-49
plot-093,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-24_18-36-58/plots/returns_by_episode.png,candidates/plots/plot_093_trend-returns_97feda4e.png,hardlink; run=nb-s01-08-2026-06-24_18-36-58
plot-094,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-24_21-32-21/plots/returns_by_episode.png,candidates/plots/plot_094_trend-returns_5df53f36.png,hardlink; run=nb-s01-08-2026-06-24_21-32-21
plot-095,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-24_22-48-52/plots/returns_by_episode.png,candidates/plots/plot_095_trend-returns_d6b2f90a.png,hardlink; run=nb-s01-08-2026-06-24_22-48-52
plot-096,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-25_07-31-43/plots/returns_by_episode.png,candidates/plots/plot_096_trend-returns_3e638823.png,hardlink; run=nb-s01-08-2026-06-25_07-31-43
plot-097,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-26_08-15-09/plots/returns_by_episode.png,candidates/plots/plot_097_trend-returns_0653983f.png,hardlink; run=nb-s01-08-2026-06-26_08-15-09
plot-098,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-27_08-10-34/plots/returns_by_episode.png,candidates/plots/plot_098_trend-returns_347c20f0.png,hardlink; run=nb-s01-08-2026-06-27_08-10-34
plot-099,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-27_12-19-52/plots/returns_by_episode.png,candidates/plots/plot_099_trend-returns_f2df9753.png,hardlink; run=nb-s01-08-2026-06-27_12-19-52
plot-100,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-27_13-50-06/plots/returns_by_episode.png,candidates/plots/plot_100_trend-returns_68b1ccdf.png,hardlink; run=nb-s01-08-2026-06-27_13-50-06
plot-101,backup,trend-returns,Results,backend/autonomous_control/runs/nb-s01-08-2026-06-28_13-42-21/plots/returns_by_episode.png,candidates/plots/plot_101_trend-returns_2999af93.png,hardlink; run=nb-s01-08-2026-06-28_13-42-21
plot-102,backup,episode-diagnostics-eval,Results,backend/autonomous_control/runs/9998217137783822_ml_mpo_learn_cadence_cadence_1_1_50_23-30-16/plots/eval_episode_diagnostics.png,candidates/plots/plot_102_episode-diagnostics-eval_a570f9cd.png,hardlink; run=9998217137783822_ml_mpo_learn_cadence_cadence_1_1_50_23-30-16
plot-103,backup,episode-diagnostics-eval,Results,backend/autonomous_control/runs/9998217138176094_ml_mpo_learn_cadence_cadence_1_1_10_23-23-43/plots/eval_episode_diagnostics.png,candidates/plots/plot_103_episode-diagnostics-eval_b1ba975e.png,hardlink; run=9998217138176094_ml_mpo_learn_cadence_cadence_1_1_10_23-23-43
